Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-07-30 0:00:00,2700.2,2729.75,2692.22,2700.01,442.18,1198313.22,2710.04
2017-07-30 1:00:00,2700,2716.98,2700,2708.56,232.35,629083.33,2707.47
2017-07-30 2:00:00,2708.56,2711.76,2697.16,2700.8,189.17,511282.22,2702.75
2017-07-30 3:00:00,2700.59,2710.17,2689.39,2704.94,302.18,815835.21,2699.84
2017-07-30 4:00:00,2704.91,2708.19,2697.81,2707.98,174.67,472319.1,2704.1
2017-07-30 5:00:00,2707.97,2713.19,2500,2628.82,2878.72,7587260.79,2635.64
2017-07-30 6:00:00,2628.82,2642.15,2569.81,2625.66,705.31,1846063.29,2617.39
2017-07-30 7:00:00,2626.17,2644.49,2620.65,2639.88,207.71,546581.75,2631.52
2017-07-30 8:00:00,2639.88,2640,2623.62,2639.17,81.53,214607.66,2632.28
2017-07-30 9:00:00,2639.17,2659.2,2639.17,2642.81,151.76,401665.07,2646.8
2017-07-30 10:00:00,2644,2653,2631,2631.01,96.44,255085.72,2645.04
2017-07-30 11:00:00,2631.01,2668.24,2631,2667.25,203,538248.53,2651.47
2017-07-30 12:00:00,2667.26,2680,2662.23,2673.37,126.37,337700.28,2672.33
2017-07-30 13:00:00,2673.32,2673.51,2660,2670.14,127.02,338399.17,2664.23
2017-07-30 14:00:00,2670.2,2716,2670,2710,387.83,1045502.46,2695.8
2017-07-30 15:00:00,2709.99,2730,2709.99,2729.01,358.36,975525.73,2722.19
2017-07-30 16:00:00,2729.01,2729.01,2700,2702.71,246.48,667205.17,2706.97
2017-07-30 17:00:00,2702.71,2713.86,2700.07,2706.07,185.28,501137.81,2704.73
2017-07-30 18:00:00,2706.04,2739.98,2706,2739.05,216.03,587483.73,2719.51
2017-07-30 19:00:00,2739.06,2739.07,2712.54,2713.89,296.91,809462.13,2726.28
2017-07-30 20:00:00,2713.9,2721.65,2713.6,2717.4,189.54,514906.49,2716.64
2017-07-30 21:00:00,2717.2,2729.2,2716.2,2726.36,246.03,669572.65,2721.47
2017-07-30 22:00:00,2726.39,2730,2718.01,2724.19,221.76,604571.34,2726.2
2017-07-30 23:00:00,2722.2,2725,2718,2723.99,193.58,526505.96,2719.82
2017-07-31 0:00:00,2723.99,2733.24,2700,2705.1,352.45,958998.92,2720.95
2017-07-31 1:00:00,2705.11,2709.09,2700,2701.18,760.24,2053489.27,2701.09
2017-07-31 2:00:00,2701.08,2718.9,2700.02,2716.93,388.17,1052184.38,2710.63
2017-07-31 3:00:00,2715.21,2721.9,2715,2720.69,427.09,1161302.12,2719.13
2017-07-31 4:00:00,2720.68,2720.68,2710,2714.04,273.71,742348.49,2712.22
2017-07-31 5:00:00,2712.51,2728,2710.61,2727.26,230.62,627012.33,2718.85
2017-07-31 6:00:00,2726.93,2740.01,2716.64,2731.55,387.68,1057319.41,2727.31
2017-07-31 7:00:00,2731.55,2749,2728.2,2732,220.26,603607.22,2740.44
2017-07-31 8:00:00,2731.63,2750,2731.21,2750,309.6,850084.33,2745.72
2017-07-31 9:00:00,2750,2750,2712.78,2726.06,295.19,806423.78,2731.87
2017-07-31 10:00:00,2726.05,2754.35,2724.06,2754.35,332.6,912071.26,2742.21
2017-07-31 11:00:00,2754.35,2781,2753.27,2781,373.08,1033911.18,2771.28
2017-07-31 12:00:00,2780.99,2800,2780.99,2800,580.03,1620455.37,2793.76
2017-07-31 13:00:00,2800,2800,2783,2783.38,326.9,913714,2795.06
2017-07-31 14:00:00,2784.09,2787.02,2756.24,2765.6,424.58,1177833.46,2774.1
2017-07-31 15:00:00,2765.6,2777.75,2747.51,2773.44,509.68,1409550.73,2765.54
2017-07-31 16:00:00,2775.2,2794,2765.96,2789.77,361.94,1007205.68,2782.76
2017-07-31 17:00:00,2789.77,2794.17,2770.96,2778.19,458.15,1273723.35,2780.13
2017-07-31 18:00:00,2778.18,2799.99,2773.15,2799.25,456.89,1275084.96,2790.8
2017-07-31 19:00:00,2799.8,2850,2791,2845,882.29,2486562.28,2818.3
2017-07-31 20:00:00,2844.82,2887.74,2841.57,2887.74,1136.68,3259271.41,2867.36
2017-07-31 21:00:00,2885.74,2900,2840,2866.25,1198.55,3448319.12,2877.06
2017-07-31 22:00:00,2866.43,2871.99,2841,2859.17,413.65,1182955.02,2859.8
2017-07-31 23:00:00,2857.26,2867.68,2837.73,2856.88,362.13,1034005.2,2855.34
2017-08-01 0:00:00,2856.89,2858.14,2816.01,2819.56,462.27,1311739.78,2837.6
2017-08-01 1:00:00,2819.57,2856.69,2819.17,2848.94,374.64,1062350.42,2835.63
2017-08-01 2:00:00,2847.5,2849,2837.75,2849,242.22,688483.96,2842.35
2017-08-01 3:00:00,2849,2863.89,2831.82,2862.91,371.32,1056942.68,2846.46
2017-08-01 4:00:00,2862.27,2889.61,2827.86,2885,866.86,2482448.67,2863.73
2017-08-01 5:00:00,2885,2925,2869.64,2902.1,571.81,1659740.74,2902.59
2017-08-01 6:00:00,2903.54,2912.12,2860.86,2871.46,435.41,1256020.62,2884.7
2017-08-01 7:00:00,2871.46,2879.75,2775,2776,513.13,1456249.29,2837.99
2017-08-01 8:00:00,2776.03,2825,2689.8,2710.21,569.44,1568359.47,2754.19
2017-08-01 9:00:00,2711.2,2783.15,2688.85,2740,418.02,1138250.3,2722.96
2017-08-01 10:00:00,2740,2778.97,2738.6,2778.47,303.31,838291.06,2763.78
2017-08-01 11:00:00,2778.48,2825,2775,2824.16,398.66,1115918.68,2799.19
2017-08-01 12:00:00,2824.99,2832,2703.89,2784.98,522.63,1458814.97,2791.28
2017-08-01 13:00:00,2790.42,2790.42,2676.01,2765,453.82,1240620.41,2733.75
2017-08-01 14:00:00,2737.86,2782.09,2727.65,2774.15,219.29,604734.8,2757.75
2017-08-01 15:00:00,2774.14,2774.15,2745.22,2759.62,183.12,505689.99,2761.57
2017-08-01 16:00:00,2758.2,2782.99,2740.1,2782.01,302.19,835355.97,2764.3
2017-08-01 17:00:00,2782.19,2790.81,2766,2768.27,257,713848.46,2777.65
2017-08-01 18:00:00,2768.27,2797.53,2750,2777.05,494.9,1377300.51,2782.98
2017-08-01 19:00:00,2777.96,2782.25,2750,2780.66,472.31,1306019.38,2765.15
2017-08-01 20:00:00,2780.66,2780.66,2747.2,2747.2,274.84,759122.84,2762.05
2017-08-01 21:00:00,2746.43,2750,2725,2725.99,375.02,1025335.95,2734.09
2017-08-01 22:00:00,2725.81,2734.19,2707.23,2707.24,384.37,1046649.6,2723.04
2017-08-01 23:00:00,2707.24,2738.02,2704.37,2732.59,306.38,834600.02,2724.03
2017-08-02 0:00:00,2731.6,2734.49,2700,2701.01,521.11,1414364.35,2714.16
2017-08-02 1:00:00,2701,2722.97,2700,2722.96,390.95,1059962.21,2711.25
2017-08-02 2:00:00,2721.2,2754,2719.2,2742.26,467.95,1281836.43,2739.23
2017-08-02 3:00:00,2742.27,2744,2723.12,2734.2,183.73,502390.6,2734.39
2017-08-02 4:00:00,2734.2,2745.14,2731.24,2741.96,235.37,643684.3,2734.82
2017-08-02 5:00:00,2741.99,2757.52,2737.23,2741,300.43,825940.17,2749.2
2017-08-02 6:00:00,2741.01,2745.16,2732.5,2732.61,100.95,276631.43,2740.39
2017-08-02 7:00:00,2732.61,2736,2718.21,2718.21,158.51,432657.75,2729.58
2017-08-02 8:00:00,2718.2,2721,2710.84,2718.44,168.58,458060.99,2717.13
2017-08-02 9:00:00,2718.44,2738.99,2710.1,2735.21,133.24,363190.79,2725.78
2017-08-02 10:00:00,2735.21,2735.21,2712.44,2720,219.55,597866.65,2723.21
2017-08-02 11:00:00,2720,2758.06,2719.99,2753.2,309.28,844238.87,2729.7
2017-08-02 12:00:00,2753.19,2756.19,2727.37,2737.21,402.2,1105113.76,2747.7
2017-08-02 13:00:00,2737.21,2737.21,2665.89,2675,853.31,2302154.4,2697.92
2017-08-02 14:00:00,2675,2700,2675,2692.06,574.36,1544752.36,2689.53
2017-08-02 15:00:00,2692,2702.48,2686.86,2699.08,418.02,1127118.8,2696.35
2017-08-02 16:00:00,2698.47,2709.99,2695.2,2704,341.31,921668.72,2700.36
2017-08-02 17:00:00,2704.01,2715,2701.11,2705.97,618.87,1676331.33,2708.71
2017-08-02 18:00:00,2705.97,2712,2703.32,2709.3,244.89,662864.61,2706.83
2017-08-02 19:00:00,2709.3,2713.6,2700,2700,322.33,871729.96,2704.49
