date	close	high	low	open	quoteVolume	volume	weightedAverage	price_usd
2015-10-06	0.0026449999999999998	0.002691	0.0024319999999999997	0.0026111999999999997	220998.5974045	564.69737209	0.0025552	0.6221362990360412
2015-10-07	0.00251001	0.0027389999999999997	0.00244976	0.00264494	176779.36700821	452.1924101	0.00255794	0.6252199113835333
2015-10-08	0.00270046	0.00276917	0.00241113	0.00251619	271728.03732706	685.64626459	0.00252328	0.6145149694479181
2015-10-09	0.00265941	0.0028799	0.00260021	0.0027005700000000002	289313.64797165	789.86006146	0.00273011	0.6652328057679457
2015-10-10	0.00256765	0.00269091	0.00253735	0.0026444100000000002	97886.90229486	255.72587586	0.00261246	0.6402394787485921
2015-10-11	0.0025859900000000003	0.00261501	0.00251	0.00256811	79686.21797327	203.41946162	0.00255275	0.6302726501699759
2015-10-12	0.00256975	0.0026791700000000002	0.00253286	0.00256852	77074.52961475	199.31449998	0.0025859900000000003	0.6384574511579189
2015-10-13	0.0024673	0.00258499	0.0023901	0.0025694900000000002	275726.22409541	677.09065454	0.00245566	0.6086748178231003
2015-10-14	0.00207953	0.00247103	0.0018793500000000001	0.0024575	1027332.3086979	2158.26030673	0.00210083	0.5273070672304776
2015-10-15	0.0022034900000000002	0.0022776	0.00202501	0.00207953	369962.71839453	795.48609914	0.00215017	0.547989693860828
2015-10-16	0.0020301	0.00225281	0.00197946	0.00220249	242712.22868931	500.38207443	0.00206162	0.537603420829424
2015-10-17	0.00201506	0.0021168	0.0019500000000000001	0.00203001	280959.78994914	559.71255655	0.00199214	0.5348325923874132
2015-10-18	0.00198283	0.00206987	0.0019340100000000001	0.00201506	116322.64800902	230.01027567	0.00197734	0.5242067147147302
2015-10-19	0.00186176	0.00199888	0.00182018	0.00198276	238135.88687073	450.45524487	0.0018915800000000001	0.49936326819658045
2015-10-20	0.00161699	0.0019137	0.00158695	0.0018510900000000001	522277.44582634	922.37126836	0.0017660500000000001	0.4733247476640147
2015-10-21	0.0016801	0.001854	0.0015500000000000002	0.00160154	797054.18418822	1330.5791455	0.00166937	0.4482027241850178
2015-10-22	0.00207495	0.0023409999999999998	0.00155666	0.00167061	1007921.0746927	1904.50690745	0.00188953	0.5161603281923564
2015-10-23	0.00196673	0.002325	0.001805	0.00207099	1144306.823833	2286.54079254	0.00199818	0.5542037856918532
2015-10-24	0.00200898	0.00209166	0.00186039	0.00196679	239912.18423944	473.2369543	0.00197254	0.5535623461833076
2015-10-25	0.00216529	0.0023810999999999997	0.00194	0.00200897	605597.46035169	1335.88584767	0.00220589	0.6381165765086568
2015-10-26	0.00257998	0.00269988	0.0020997900000000003	0.00218026	1054222.7573049	2471.95811445	0.00234481	0.6672526670666018
2015-10-27	0.00300927	0.0031200000000000004	0.00246121	0.0025718200000000003	1286738.167997	3622.81480133	0.0028155	0.8252685155583585
2015-10-28	0.00335422	0.0036500000000000005	0.0026349999999999998	0.00296541	1397880.0422753	4427.68716509	0.0031674200000000002	0.9530168445619921
2015-10-29	0.00387	0.0039397	0.00307103	0.00335422	1192163.5151973	4260.15602053	0.00357346	1.10971114017018
2015-10-30	0.00319999	0.00409999	0.00286002	0.00387	1328861.2713958	4575.20760092	0.00344295	1.118019049619239
2015-10-31	0.00290025	0.003264	0.0028	0.0031999	423408.98261823	1254.94429712	0.0029638999999999998	0.9438058029893336
2015-11-01	0.0032400000000000003	0.00331818	0.0028238300000000003	0.00291025	332449.28737921	1035.43382843	0.00311456	0.9921808861031641
2015-11-02	0.00277999	0.00336021	0.002611	0.00325873	633747.795654	1882.24061914	0.00297001	1.0228140671757429
2015-11-03	0.00250797	0.0028793300000000003	0.00223388	0.00276434	1134889.4651959	2896.9057508	0.00255258	0.9845517315202982
2015-11-04	0.00217009	0.0025325400000000002	0.00137002	0.002513	2617801.5863498	5140.04447923	0.00196349	0.8651867570871971
2015-11-05	0.00231062	0.0025800000000000003	0.00205	0.00219968	921900.99933937	2115.50865021	0.00229472	0.9199394469343455
2015-11-06	0.00251351	0.00268	0.00222246	0.00231124	647937.27846754	1584.41384723	0.00244531	0.9099307757596335
2015-11-07	0.00241499	0.00252	0.00218398	0.0025131999999999997	430825.10782856	1018.12885341	0.0023631999999999998	0.9029907307897139
2015-11-08	0.00275901	0.00280377	0.0023488	0.00237301	509215.5518438	1322.24835567	0.00259663	0.983334985756534
