date	close	high	low	open	quoteVolume	volume	weightedAverage	price_usd
2015-01-02	0.0062999300000000005	0.00639995	0.00604855	0.00614339	209.56184263	1.3101846400000001	0.0062520100000000006	1.9742918914249614
2015-01-03	0.0062125900000000005	0.00629981	0.00600001	0.0060739	1067.68316029	6.43855593	0.00603039	1.8182375618479552
2015-01-04	0.00619998	0.0063011	0.00600001	0.00600001	353.16440696	2.17666505	0.00616331	1.7054251854404372
2015-01-05	0.00600003	0.006200000000000001	0.00600002	0.00611002	453.52010422	2.76088953	0.00608768	1.6506104777580355
2015-01-06	0.00600001	0.006200000000000001	0.00600001	0.00600004	306.53529214	1.86395862	0.00608073	1.6676794825929095
2015-01-07	0.00589	0.00605269	0.00583725	0.00600001	437.29034163	2.59533443	0.00593503	1.7422342703933194
2015-01-08	0.00605096	0.00605606	0.00580002	0.00589	253.03620127	1.50762276	0.00595813	1.7300264783294137
2015-01-09	0.00599802	0.0061199800000000006	0.00583003	0.00585291	136.04274852	0.81475725	0.00598897	1.7474070852075887
2015-01-10	0.00593849	0.00622201	0.005920000000000001	0.00599638	222.84319685	1.34993385	0.0060577700000000005	1.7113409931954606
2015-01-11	0.006057	0.006222	0.00595286	0.00621648	635.04703277	3.85603554	0.00607204	1.6470919693611925
2015-01-12	0.00613164	0.00621999	0.00595937	0.00605701	336.66584602	2.05010763	0.00608944	1.6746301991150847
2015-01-13	0.00600001	0.00639991	0.00600001	0.00613104	560.98882036	3.41329873	0.00608443	1.4408589207437434
2015-01-14	0.00609782	0.006180000000000001	0.00594241	0.00600481	1045.7708868	6.30203714	0.00602621	1.1791385177874858
2015-01-15	0.00607141	0.0061988600000000005	0.00598205	0.00617495	215.01518631	1.31379225	0.00611023	1.2730590729362046
2015-01-16	0.00616575	0.00641991	0.00587807	0.00619737	1035.89078464	6.42001713	0.00619758	1.3038476779438457
2015-01-17	0.00611983	0.0062447100000000005	0.00540002	0.00616445	761.26507337	4.46021442	0.00585895	1.174390224287681
2015-01-18	0.0061581	0.00624975	0.006050799999999999	0.0061233400000000006	250.30472639	1.5526606900000002	0.00620308	1.3013247362486822
2015-01-19	0.006329899999999999	0.0063974	0.00615203	0.00615203	302.54030266	1.89763753	0.00627234	1.3267465320525778
2015-01-20	0.00710361	0.00710361	0.0062298200000000005	0.0063596500000000005	840.83910914	5.55759704	0.00660958	1.4095983156561147
2015-01-21	0.00701771	0.00748998	0.0066067999999999995	0.0066067999999999995	1107.756457	7.91025463	0.00714078	1.5471424993395861
2015-01-22	0.00681086	0.00731603	0.00678001	0.00701771	613.46142483	4.31044593	0.00702643	1.648366276083752
2015-01-23	0.0068011	0.007145599999999999	0.006762	0.00699697	568.80719124	3.97320587	0.00698515	1.6176725860868066
2015-01-24	0.00690026	0.0071509600000000005	0.00667371	0.00680002	849.66898483	5.90501887	0.00694978	1.6777226160273249
2015-01-25	0.007040599999999999	0.0073100000000000005	0.006900000000000001	0.00690153	1496.9631433	10.64640109	0.00711199	1.7772003487556343
